Account Name,Industry,Phone,Billing City,Billing Country
BrightPath Customer 1,Retail,+44 161 555 2001,Manchester,UK
BrightPath Customer 2,Healthcare,+44 161 555 2002,Birmingham,UK
BrightPath Customer 3,Finance,+44 161 555 2003,Leeds,UK
BrightPath Customer 4,Manufacturing,+44 161 555 2004,Edinburgh,UK
BrightPath Customer 5,Education,+44 161 555 2005,Bristol,UK
BrightPath Customer 6,Technology,+44 161 555 2006,Cardiff,UK
BrightPath Customer 7,Retail,+44 161 555 2007,Glasgow,UK
BrightPath Customer 8,Healthcare,+44 161 555 2008,London,UK
BrightPath Customer 9,Finance,+44 161 555 2009,Manchester,UK
BrightPath Customer 10,Manufacturing,+44 161 555 2010,Birmingham,UK
